TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,DATE
Theft of Bicycle,2005,2,15,0,0,10XX ALBERNI ST,West End,491059.4824,5459122.4178,2005-02-15T00:00:00Z
Theft of Bicycle,2006,8,28,8,30,10XX ALBERNI ST,West End,491059.4824,5459122.4178,2006-08-28T00:00:00Z
Theft of Bicycle,2008,7,15,19,0,10XX ALBERNI ST,West End,491059.4824,5459122.4178,2008-07-15T00:00:00Z
Theft of Bicycle,2009,10,15,0,0,10XX ALBERNI ST,West End,491059.4824,5459122.4178,2009-10-15T00:00:00Z
Theft of Bicycle,2011,9,28,12,0,10XX ALBERNI ST,West End,491059.4824,5459122.4178,2011-09-28T00:00:00Z
Theft of Bicycle,2015,8,9,22,0,10XX ALBERNI ST,West End,491068.6829,5459126.1374,2015-08-09T00:00:00Z
Theft of Bicycle,2012,6,5,13,0,10XX ALBERNI ST,West End,491073.0884,5459108.7547,2012-06-05T00:00:00Z
Theft of Bicycle,2015,7,19,16,0,10XX ALBERNI ST,West End,491097.5791,5459084.1611,2015-07-19T00:00:00Z
Theft of Bicycle,2017,9,2,3,38,10XX ALBERNI ST,West End,491098.6067,5459083.1288,2017-09-02T00:00:00Z
Theft of Bicycle,2006,1,1,13,33,10XX ALBERNI ST,West End,491103.0215,5459078.6959,2006-01-01T00:00:00Z
Theft of Bicycle,2021,11,1,1,30,10XX ALBERNI ST,West End,491103.0215,5459078.6959,2021-11-01T00:00:00Z
Theft of Bicycle,2018,7,29,23,30,10XX ALBERNI ST,West End,491104.291,5459077.4207,2018-07-29T00:00:00Z
Theft of Bicycle,2003,8,14,15,30,10XX ALBERNI ST,West End,491141.1181,5459040.4392,2003-08-14T00:00:00Z
Theft of Bicycle,2004,4,15,8,0,10XX ALBERNI ST,West End,491141.1181,5459040.4392,2004-04-15T00:00:00Z
Theft of Bicycle,2004,7,14,20,40,10XX ALBERNI ST,West End,491141.1181,5459040.4392,2004-07-14T00:00:00Z
Theft of Bicycle,2007,1,13,18,50,10XX ALBERNI ST,West End,491141.1181,5459040.4392,2007-01-13T00:00:00Z
Theft of Bicycle,2007,8,4,23,0,10XX ALBERNI ST,West End,491141.1181,5459040.4392,2007-08-04T00:00:00Z
Theft of Bicycle,2014,11,10,14,0,10XX BALFOUR AVE,Shaughnessy,490697.2042,5455444.2772,2014-11-10T00:00:00Z
Theft of Bicycle,2014,8,13,12,30,10XX BARCLAY ST,West End,490795.7612,5458913.0082,2014-08-13T00:00:00Z
Theft of Bicycle,2022,1,18,13,0,10XX BARCLAY ST,West End,490808.7718,5458912.6577,2022-01-18T00:00:00Z
Theft of Bicycle,2003,6,3,12,0,10XX BARCLAY ST,West End,490808.8809,5458899.3392,2003-06-03T00:00:00Z
Theft of Bicycle,2003,12,8,22,30,10XX BARCLAY ST,West End,490810.23,5458911.1387,2003-12-08T00:00:00Z
Theft of Bicycle,2009,7,11,0,30,10XX BARCLAY ST,West End,490810.23,5458911.1387,2009-07-11T00:00:00Z
Theft of Bicycle,2014,12,11,12,0,10XX BARCLAY ST,West End,490810.23,5458911.1387,2014-12-11T00:00:00Z
Theft of Bicycle,2015,2,14,15,0,10XX BARCLAY ST,West End,490810.23,5458911.1387,2015-02-14T00:00:00Z
Theft of Bicycle,2013,9,18,14,0,10XX BARCLAY ST,West End,490820.7257,5458900.2035,2013-09-18T00:00:00Z
Theft of Bicycle,2006,10,12,15,0,10XX BARCLAY ST,West End,490822.0006,5458885.6702,2006-10-12T00:00:00Z
Theft of Bicycle,2007,6,16,11,45,10XX BARCLAY ST,West End,490822.0006,5458885.6702,2007-06-16T00:00:00Z
Theft of Bicycle,2022,9,11,22,0,10XX BARCLAY ST,West End,490823.3497,5458897.4697,2022-09-11T00:00:00Z
Theft of Bicycle,2016,7,6,3,13,10XX BARCLAY ST,West End,490833.4368,5458886.9598,2016-07-06T00:00:00Z
Theft of Bicycle,2014,7,4,20,0,10XX BARCLAY ST,West End,490846.9652,5458872.8655,2014-07-04T00:00:00Z
Theft of Bicycle,2016,4,7,18,30,10XX BARCLAY ST,West End,490846.9652,5458872.8655,2016-04-07T00:00:00Z
Theft of Bicycle,2019,8,5,1,0,10XX BARCLAY ST,West End,490847.1395,5458872.6832,2019-08-05T00:00:00Z
Theft of Bicycle,2015,2,4,22,0,10XX BARCLAY ST,West End,490848.24,5458858.3322,2015-02-04T00:00:00Z
Theft of Bicycle,2015,6,20,19,0,10XX BARCLAY ST,West End,490863.9836,5458841.9294,2015-06-20T00:00:00Z
Theft of Bicycle,2016,9,7,6,36,10XX BARCLAY ST,West End,490863.9836,5458841.9294,2016-09-07T00:00:00Z
Theft of Bicycle,2019,9,12,9,0,10XX BARCLAY ST,West End,490863.9836,5458841.9294,2019-09-12T00:00:00Z
Theft of Bicycle,2011,4,15,18,0,10XX BARCLAY ST,West End,490900.7188,5458803.6562,2011-04-15T00:00:00Z
Theft of Bicycle,2013,5,23,13,15,10XX BARCLAY ST,West End,490900.7188,5458803.6562,2013-05-23T00:00:00Z
Theft of Bicycle,2014,6,9,19,30,10XX BARCLAY ST,West End,490900.7188,5458803.6562,2014-06-09T00:00:00Z
Theft of Bicycle,2014,8,2,13,0,10XX BARCLAY ST,West End,490900.7188,5458803.6562,2014-08-02T00:00:00Z
Theft of Bicycle,2015,7,17,13,23,10XX BARCLAY ST,West End,490900.7188,5458803.6562,2015-07-17T00:00:00Z
Theft of Bicycle,2015,8,3,0,14,10XX BARCLAY ST,West End,490900.7188,5458803.6562,2015-08-03T00:00:00Z
Theft of Bicycle,2017,9,26,9,15,10XX BARCLAY ST,West End,490903.5756,5458800.6793,2017-09-26T00:00:00Z
Theft of Bicycle,2018,6,3,17,0,10XX BARCLAY ST,West End,490903.5756,5458800.6793,2018-06-03T00:00:00Z
Theft of Bicycle,2018,6,5,17,30,10XX BARCLAY ST,West End,490903.5756,5458800.6793,2018-06-05T00:00:00Z
Theft of Bicycle,2018,6,17,15,50,10XX BARCLAY ST,West End,490903.5756,5458800.6793,2018-06-17T00:00:00Z
Theft of Bicycle,2019,2,22,16,15,10XX BARCLAY ST,West End,490903.5756,5458800.6793,2019-02-22T00:00:00Z
Theft of Bicycle,2019,9,6,18,15,10XX BARCLAY ST,West End,490903.5756,5458800.6793,2019-09-06T00:00:00Z
Theft of Bicycle,2022,8,27,14,12,10XX BARCLAY ST,West End,490903.5756,5458800.6793,2022-08-27T00:00:00Z
Theft of Bicycle,2022,11,2,20,28,10XX BARCLAY ST,West End,490903.5756,5458800.6793,2022-11-02T00:00:00Z
Theft of Bicycle,2003,8,22,14,47,10XX BEACH AVE,West End,490197.4785,5458239.4212,2003-08-22T00:00:00Z
Theft of Bicycle,2004,5,9,11,0,10XX BEACH AVE,West End,490197.4785,5458239.4212,2004-05-09T00:00:00Z
Theft of Bicycle,2004,7,8,16,45,10XX BEACH AVE,West End,490197.4785,5458239.4212,2004-07-08T00:00:00Z
Theft of Bicycle,2004,7,15,11,30,10XX BEACH AVE,West End,490197.4785,5458239.4212,2004-07-15T00:00:00Z
Theft of Bicycle,2004,7,16,13,0,10XX BEACH AVE,West End,490197.4785,5458239.4212,2004-07-16T00:00:00Z
Theft of Bicycle,2004,7,20,18,0,10XX BEACH AVE,West End,490197.4785,5458239.4212,2004-07-20T00:00:00Z
Theft of Bicycle,2004,8,18,13,0,10XX BEACH AVE,West End,490197.4785,5458239.4212,2004-08-18T00:00:00Z
